@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:eIssn,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105041318442,2-s2.0-105041318442,Size effects in lattice structures,Yeshamoni S.,Scripta Materialia,13596462,283,,2026-10-01,1 October 2026,10.1016/j.scriptamat.2026.117413,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Madras', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105040219188,2-s2.0-105040219188,Tailoring additive manufacturability and high-temperature strength in Ni-based superalloys via oxide nanoparticle additions,Zi N.,Materials Science and Engineering A,09215093,971,,2026-09-01,September 2026,10.1016/j.msea.2026.150519,0,"[{'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hebei University of Technology', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tianmushan Laboratory', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042115290,2-s2.0-105042115290,Improved hot cracking resistance and microstructure in nickel-based superalloys with yttrium addition,Liu E.,Materials Characterization,10445803,239,,2026-09-01,September 2026,10.1016/j.matchar.2026.116664,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China University of Mining & Technology, Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing University of Technology', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042613860,2-s2.0-105042613860,GND density in an additively manufactured CoNi superalloy: A 3D EBSD perspective,Nascimento A.,Acta Materialia,13596454,316,,2026-09-01,1 September 2026,10.1016/j.actamat.2026.122410,0,"[{'@_fa': 'true', 'affilname': 'The Robert Mehrabian College of Engineering', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042229772,2-s2.0-105042229772,Oxidation behavior of Ni-based superalloy fabricated by laser powder bed fusion: Enhancement mechanism of post heat treatment,Yu H.,Corrosion Science,0010938X,270,,2026-09-01,September 2026,10.1016/j.corsci.2026.114043,0,"[{'@_fa': 'true', 'affilname': 'Monash University', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}, {'@_fa': 'true', 'affilname': 'Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'CSIC-CENIM - Materalia Group', 'affiliation-city': 'Madrid', 'affiliation-country': 'Spain'}, {'@_fa': 'true', 'affilname': 'Suzhou Industrial Park Monash Research Institute of Science and Technology', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105040558646,2-s2.0-105040558646,A new cracking criterion for additive manufacturing and repair of Ni-based superalloys via laser directed energy deposition,Guan X.,Acta Materialia,13596454,315,,2026-08-15,15 August 2026,10.1016/j.actamat.2026.122400,0,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Aeronautics and Astronautics', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042493164,2-s2.0-105042493164,Strain age cracking in a simulated heat affected zone of Inconel 740H laser-powder bed fusion components,Pickle T.,Materialia,,48,,2026-08-01,August 2026,10.1016/j.mtla.2026.102791,0,"[{'@_fa': 'true', 'affilname': 'Colorado School of Mines', 'affiliation-city': 'Golden', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'National Laboratory of the Rockies', 'affiliation-city': 'Golden', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Elementum 3D', 'affiliation-city': 'Erie', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Siemens Energy', 'affiliation-city': 'Casselberry', 'affiliation-country': 'United States'}]",Journal,ar,Article,1,True,,,25891529,
true,https://api.elsevier.com/content/abstract/scopus_id/105041231110,2-s2.0-105041231110,Investigation on the forming process and mechanical properties of nickel-based superalloys fabricated by oscillating laser directed energy deposition,Wu W.,Materials Characterization,10445803,238,,2026-08-01,August 2026,10.1016/j.matchar.2026.116580,0,"[{'@_fa': 'true', 'affilname': 'Jiangsu University', 'affiliation-city': 'Zhenjiang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tiangong University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhejiang Shun Tian Transmission Technology Co. Ltd', 'affiliation-city': 'Wenzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,2,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105041604445,2-s2.0-105041604445,"Microstructure-mechanical property correlation in electron beam-powder bed fusion Inconel 718 superalloys: Role of build angle on defect formation, γʺ precipitation, and creep resistance",Park S.,Journal of Materials Research and Technology,22387854,43,803-813,2026-07-01,July - August 2026,10.1016/j.jmrt.2026.06.086,0,"[{'@_fa': 'true', 'affilname': 'Korea Institute of Industrial Technology', 'affiliation-city': 'Cheonan', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'Changwon National University', 'affiliation-city': 'Changwon', 'affiliation-country': 'South Korea'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",22140697,
true,https://api.elsevier.com/content/abstract/scopus_id/105040678104,2-s2.0-105040678104,A novel nickel-based superalloy YNi1 with low crack sensitivity and excellent high-temperature strength,Hu J.,Journal of Alloys and Compounds,09258388,1073,,2026-06-25,25 June 2026,10.1016/j.jallcom.2026.189033,0,"[{'@_fa': 'true', 'affilname': 'Southeast University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105041206716,2-s2.0-105041206716,Cracking behavior in laser powder bed fusion of non-weldable Ni-based superalloys: A multi-physics numerical and experimental study,Guo K.,Additive Manufacturing,,126,,2026-06-25,25 June 2026,10.1016/j.addma.2026.105264,0,"[{'@_fa': 'true', 'affilname': 'Huazhong University of Science and Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Advanced Special Steel', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,22148604,
true,https://api.elsevier.com/content/abstract/scopus_id/105041220831,2-s2.0-105041220831,Micromechanical and fatigue in situ synchrotron characterization of an additively manufactured superalloy with porosity,Stopka K.S.,Additive Manufacturing,,126,,2026-06-25,25 June 2026,10.1016/j.addma.2026.105260,0,"[{'@_fa': 'true', 'affilname': 'College of Engineering', 'affiliation-city': 'West Lafayette', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'The Advanced Photon Source', 'affiliation-city': 'Lemont', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,22148604,
true,https://api.elsevier.com/content/abstract/scopus_id/105040376056,2-s2.0-105040376056,Alloy design of γ′-strengthened Co-Ni-base superalloys with low crack susceptibility suitable for additive manufacturing,Yan C.,Additive Manufacturing,,125,,2026-06-05,5 June 2026,10.1016/j.addma.2026.105256,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,22148604,
true,https://api.elsevier.com/content/abstract/scopus_id/105041326929,2-s2.0-105041326929,Research Status and Prospects of Additive Manufacturing/Hot Isostatic Pressing Integrated Forming for Difficult-to-Machine Metals,Shi Y.,Jinshu Xuebao Acta Metallurgica Sinica,04121961,62,770-784,2026-05-11,11 May 2026,10.11900/0412.1961.2025.00381,0,"[{'@_fa': 'true', 'affilname': 'Huazhong University of Science and Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Wuhan University of Science and Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,5
true,https://api.elsevier.com/content/abstract/scopus_id/105040109261,2-s2.0-105040109261,Research Progress on Additively Manufactured Porous Structures of Nickel-Based Superalloys,Xu S.,Materials,,19,,2026-05-01,May 2026,10.3390/ma19102144,0,"[{'@_fa': 'true', 'affilname': 'Academy of Military Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hangzhou City University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China International Engineering Consulting Corporation', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhejiang Province Key Laboratory of Noble Metal Catalytic Materials and Technology', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,re,Review,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",19961944,10
true,https://api.elsevier.com/content/abstract/scopus_id/105040084894,2-s2.0-105040084894,Nanoscale γ′ precipitates dominated high-temperature creep of additive manufacturing repaired single crystal superalloy,Xia W.,Journal of Materials Research and Technology,22387854,42,10537-10549,2026-05-01,May - June 2026,10.1016/j.jmrt.2026.05.328,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",22140697,
true,https://api.elsevier.com/content/abstract/scopus_id/105040261228,2-s2.0-105040261228,Numerical Simulation and Verification of Vacuum Induction Melting Gas Atomization,Wu H.,Applied Sciences Switzerland,,16,,2026-05-01,May 2026,10.3390/app16105133,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Powder Metallurgy Research Institute', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hefei Sinan Metal Materials Co., Ltd.', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",20763417,10
