@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105039767338,2-s2.0-105039767338,Additive manufacturing of high temperature Mo-Si-B-Ti alloys,Liu L.,International Journal of Refractory Metals and Hard Materials,02634368,22133917,140,,2026-11-01,November 2026,10.1016/j.ijrmhm.2026.107879,0,"[{'@_fa': 'true', 'affilname': 'UW-Madison College of Engineering', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'CompuTherm LLC', 'affiliation-city': 'Middleton', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105041318442,2-s2.0-105041318442,Size effects in lattice structures,Yeshamoni S.,Scripta Materialia,13596462,,283,,2026-10-01,1 October 2026,10.1016/j.scriptamat.2026.117413,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Madras', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039052897,2-s2.0-105039052897,Effect of ultrasonic impact treatment on the microstructure and tribological properties of LAM-repaired GH4169D alloy,Shang Q.,Materials Letters,0167577X,18734979,419,,2026-09-15,15 September 2026,10.1016/j.matlet.2026.140908,0,"[{'@_fa': 'true', 'affilname': 'Shenyang University of Technology', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039028177,2-s2.0-105039028177,Laves phase morphology-mediated damage initiation and deformation heterogeneity mechanisms in laser directed energy deposited GH4169 superalloy,Guo N.,Engineering Failure Analysis,13506307,,195,,2026-09-15,15 September 2026,10.1016/j.engfailanal.2026.111010,0,"[{'@_fa': 'true', 'affilname': 'Shandong University', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Qilu University of Technology', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China Aerospace Science and Industry Corporation', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shandong Institute of Mechanical Design and Research', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039621879,2-s2.0-105039621879,Alloy design and related post-treatment of crack-susceptible IN738LC Ni-based superalloy for additive manufacturing,Li X.,Materials Science and Engineering A,09215093,,969,,2026-09-01,September 2026,10.1016/j.msea.2026.150433,0,"[{'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105040219188,2-s2.0-105040219188,Tailoring additive manufacturability and high-temperature strength in Ni-based superalloys via oxide nanoparticle additions,Zi N.,Materials Science and Engineering A,09215093,,971,,2026-09-01,September 2026,10.1016/j.msea.2026.150519,0,"[{'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hebei University of Technology', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tianmushan Laboratory', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105040558646,2-s2.0-105040558646,A new cracking criterion for additive manufacturing and repair of Ni-based superalloys via laser directed energy deposition,Guan X.,Acta Materialia,13596454,,315,,2026-08-15,15 August 2026,10.1016/j.actamat.2026.122400,0,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Aeronautics and Astronautics', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039046280,2-s2.0-105039046280,Linear and rotary friction welding of titanium alloys and superalloys for aeroengines: Review and perspectives,Li P.,Journal of Manufacturing Processes,15266125,,171,258-287,2026-08-15,15 August 2026,10.1016/j.jmapro.2026.05.043,0,"[{'@_fa': 'true', 'affilname': 'Dalian University of Technology', 'affiliation-city': 'Dalian', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Harbin Welding Institute', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'AECC Shenyang Engine Research Institute', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105041231110,2-s2.0-105041231110,Investigation on the forming process and mechanical properties of nickel-based superalloys fabricated by oscillating laser directed energy deposition,Wu W.,Materials Characterization,10445803,,238,,2026-08-01,August 2026,10.1016/j.matchar.2026.116580,0,"[{'@_fa': 'true', 'affilname': 'Jiangsu University', 'affiliation-city': 'Zhenjiang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tiangong University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhejiang Shun Tian Transmission Technology Co. Ltd', 'affiliation-city': 'Wenzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,2,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105039315319,2-s2.0-105039315319,Crack inhibition and grain refinement in laser directed energy deposition of high-γ' Ni3Al-based superalloys via nanosized HfB2 addition,Xu F.,Materials Characterization,10445803,,237,,2026-07-01,July 2026,10.1016/j.matchar.2026.116516,0,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Trinity College Dublin', 'affiliation-city': 'Dublin', 'affiliation-country': 'Ireland'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
