@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:eIssn,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105042927764,2-s2.0-105042927764,TaC-reinforced GH4099 superalloy composite for enhanced high-temperature performance by additive manufacturing,Li M.,Composites Part B Engineering,13598368,325,,2026-10-01,October 2026,10.1016/j.compositesb.2026.113920,0,"[{'@_fa': 'true', 'affilname': ""State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105041318442,2-s2.0-105041318442,Size effects in lattice structures,Yeshamoni S.,Scripta Materialia,13596462,283,,2026-10-01,1 October 2026,10.1016/j.scriptamat.2026.117413,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Madras', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105042719880,2-s2.0-105042719880,Prediction of strength and impact toughness of additive manufactured GH4169 superalloy at different temperatures,Zhang Z.,Materials Science and Engineering A,09215093,972,,2026-10-01,October 2026,10.1016/j.msea.2026.150667,0,"[{'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Institute of Engineering', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': ""Xi'an Space Engine Company Limited"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105043416454,2-s2.0-105043416454,Anomalous 3D internal oxide network formation in Ni-based superalloy 247 processed by electron beam powder bed fusion additive manufacturing,Hariharan K.,Corrosion Science,0010938X,270,,2026-09-01,September 2026,10.1016/j.corsci.2026.114076,0,"[{'@_fa': 'true', 'affilname': 'Rheinisch-Westfälische Technische Hochschule Aachen', 'affiliation-city': 'Aachen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Friedrich-Alexander-Universität Erlangen-Nürnberg', 'affiliation-city': 'Erlangen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Indian Institute of Technology Bombay', 'affiliation-city': 'Mumbai', 'affiliation-country': 'India'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105042115290,2-s2.0-105042115290,Improved hot cracking resistance and microstructure in nickel-based superalloys with yttrium addition,Liu E.,Materials Characterization,10445803,239,,2026-09-01,September 2026,10.1016/j.matchar.2026.116664,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China University of Mining & Technology, Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing University of Technology', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042613860,2-s2.0-105042613860,GND density in an additively manufactured CoNi superalloy: A 3D EBSD perspective,Nascimento A.,Acta Materialia,13596454,316,,2026-09-01,1 September 2026,10.1016/j.actamat.2026.122410,0,"[{'@_fa': 'true', 'affilname': 'The Robert Mehrabian College of Engineering', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042229772,2-s2.0-105042229772,Oxidation behavior of Ni-based superalloy fabricated by laser powder bed fusion: Enhancement mechanism of post heat treatment,Yu H.,Corrosion Science,0010938X,270,,2026-09-01,September 2026,10.1016/j.corsci.2026.114043,0,"[{'@_fa': 'true', 'affilname': 'Monash University', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}, {'@_fa': 'true', 'affilname': 'Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'CSIC-CENIM - Materalia Group', 'affiliation-city': 'Madrid', 'affiliation-country': 'Spain'}, {'@_fa': 'true', 'affilname': 'Suzhou Industrial Park Monash Research Institute of Science and Technology', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105040558646,2-s2.0-105040558646,A new cracking criterion for additive manufacturing and repair of Ni-based superalloys via laser directed energy deposition,Guan X.,Acta Materialia,13596454,315,,2026-08-15,15 August 2026,10.1016/j.actamat.2026.122400,0,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Aeronautics and Astronautics', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042493164,2-s2.0-105042493164,Strain age cracking in a simulated heat affected zone of Inconel 740H laser-powder bed fusion components,Pickle T.,Materialia,,48,,2026-08-01,August 2026,10.1016/j.mtla.2026.102791,0,"[{'@_fa': 'true', 'affilname': 'Colorado School of Mines', 'affiliation-city': 'Golden', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'National Laboratory of the Rockies', 'affiliation-city': 'Golden', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Elementum 3D', 'affiliation-city': 'Erie', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Siemens Energy', 'affiliation-city': 'Casselberry', 'affiliation-country': 'United States'}]",Journal,ar,Article,1,True,,,25891529,
true,https://api.elsevier.com/content/abstract/scopus_id/105043125868,2-s2.0-105043125868,Molten pool fluid flow regulation induced grain morphology controlling in laser metal deposited Ni-based superalloy,Hao Z.,Journal of Materials Processing Technology,09240136,354,,2026-08-01,August 2026,10.1016/j.jmatprotec.2026.119403,0,"[{'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hefei University of Technology', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Resources and Materials, Northeastern University', 'affiliation-city': 'Qinhuangdao', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,18734774,
