@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105039767338,2-s2.0-105039767338,Additive manufacturing of high temperature Mo-Si-B-Ti alloys,Liu L.,International Journal of Refractory Metals and Hard Materials,02634368,22133917,140,,2026-11-01,November 2026,10.1016/j.ijrmhm.2026.107879,0,"[{'@_fa': 'true', 'affilname': 'UW-Madison College of Engineering', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'CompuTherm LLC', 'affiliation-city': 'Middleton', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039052897,2-s2.0-105039052897,Effect of ultrasonic impact treatment on the microstructure and tribological properties of LAM-repaired GH4169D alloy,Shang Q.,Materials Letters,0167577X,18734979,419,,2026-09-15,15 September 2026,10.1016/j.matlet.2026.140908,0,"[{'@_fa': 'true', 'affilname': 'Shenyang University of Technology', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039028177,2-s2.0-105039028177,Laves phase morphology-mediated damage initiation and deformation heterogeneity mechanisms in laser directed energy deposited GH4169 superalloy,Guo N.,Engineering Failure Analysis,13506307,,195,,2026-09-15,15 September 2026,10.1016/j.engfailanal.2026.111010,0,"[{'@_fa': 'true', 'affilname': 'Shandong University', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Qilu University of Technology', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China Aerospace Science and Industry Corporation', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shandong Institute of Mechanical Design and Research', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039621879,2-s2.0-105039621879,Alloy design and related post-treatment of crack-susceptible IN738LC Ni-based superalloy for additive manufacturing,Li X.,Materials Science and Engineering A,09215093,,969,,2026-09-01,September 2026,10.1016/j.msea.2026.150433,0,"[{'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039046280,2-s2.0-105039046280,Linear and rotary friction welding of titanium alloys and superalloys for aeroengines: Review and perspectives,Li P.,Journal of Manufacturing Processes,15266125,,171,258-287,2026-08-15,15 August 2026,10.1016/j.jmapro.2026.05.043,0,"[{'@_fa': 'true', 'affilname': 'Dalian University of Technology', 'affiliation-city': 'Dalian', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Harbin Welding Institute', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'AECC Shenyang Engine Research Institute', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105037444419,2-s2.0-105037444419,High-temperature creep failure mechanisms of Inconel 718 fabricated via additive manufacturing: influence of build orientation and geometric discontinuities,Tahsin Z.,Engineering Failure Analysis,13506307,,193,,2026-08-01,1 August 2026,10.1016/j.engfailanal.2026.110922,0,"[{'@_fa': 'true', 'affilname': 'College of Engineering', 'affiliation-city': 'Columbia', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Purdue University Northwest', 'affiliation-city': 'Westville', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105037452927,2-s2.0-105037452927,High-temperature mechanical properties of a γ′-strengthened Co-based superalloy designed for additive manufacturing,Holtham N.,Scripta Materialia,13596462,,281,,2026-08-01,1 August 2026,10.1016/j.scriptamat.2026.117369,0,"[{'@_fa': 'true', 'affilname': 'Oak Ridge National Laboratory', 'affiliation-city': 'Oak Ridge', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'The Robert Mehrabian College of Engineering', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Carpenter Technology Corporation', 'affiliation-city': 'Reading', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105038467914,2-s2.0-105038467914,Experimental determination of initial anisotropy and development of the yield surface of Inconel 718 superalloy produced by additive manufacturing,Kořínek M.,International Journal of Solids and Structures,00207683,,337,,2026-08-01,1 August 2026,10.1016/j.ijsolstr.2026.114063,0,"[{'@_fa': 'true', 'affilname': 'VSB – Technical University of Ostrava', 'affiliation-city': 'Ostrava', 'affiliation-country': 'Czech Republic'}, {'@_fa': 'true', 'affilname': 'Opole University of Technology', 'affiliation-city': 'Opole', 'affiliation-country': 'Poland'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105039315319,2-s2.0-105039315319,Crack inhibition and grain refinement in laser directed energy deposition of high-γ' Ni3Al-based superalloys via nanosized HfB2 addition,Xu F.,Materials Characterization,10445803,,237,,2026-07-01,July 2026,10.1016/j.matchar.2026.116516,0,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Trinity College Dublin', 'affiliation-city': 'Dublin', 'affiliation-country': 'Ireland'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105038304173,2-s2.0-105038304173,Influence of process induced defects and microstructure on very-high-cycle fatigue response of novel alloy ABD-900AM,Rauf A.,Theoretical and Applied Fracture Mechanics,01678442,,145,,2026-07-01,July 2026,10.1016/j.tafmec.2026.105654,0,"[{'@_fa': 'true', 'affilname': 'KU Leuven', 'affiliation-city': 'Leuven', 'affiliation-country': 'Belgium'}, {'@_fa': 'true', 'affilname': 'Alloyed Ltd', 'affiliation-city': 'Oxford', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,0,False,,,
