@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,prism:issueIdentifier,freetoread,freetoreadLabel
true,https://api.elsevier.com/content/abstract/scopus_id/105029658222,2-s2.0-105029658222,Time lapse X-ray imaging reveals dual-role significance of hot cracks in high-temperature fatigued L-PBF Hastelloy X,Zhang H.,International Journal of Fatigue,01421123,208,,2026-07-01,July 2026,10.1016/j.ijfatigue.2026.109558,0,"[{'@_fa': 'true', 'affilname': 'Southwest Jiaotong University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Institute of Aeronautical Materials', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'AECC Commercial Aircraft Engine Co., Ltd', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'TaiHang Laboratory', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029703052,2-s2.0-105029703052,Interdiffusion behavior of NiCrAlYSi coatings in laser additive manufacturing and as-cast single-crystal superalloys,Liu Y.,Materials Letters,0167577X,410,,2026-05-01,1 May 2026,10.1016/j.matlet.2026.140238,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,18734979,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029904556,2-s2.0-105029904556,Instance segmentation and microstructure characterization based on powder microscopic image data,He S.,Materials Characterization,10445803,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116051,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Huazhong Agricultural University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chengdu Advanced Metal Materials Industry Technology Research Institute Limited Company', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Vanadium and Titanium Resources Comprehensive Utilization', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030138211,2-s2.0-105030138211,Achieving super wear resistance in additively manufactured eutectic high-entropy alloys via self-hardening design at intermediate temperatures,Sun Y.,Advanced Composites and Hybrid Materials,25220128,9,,2026-04-01,April 2026,10.1007/s42114-026-01649-2,0,"[{'@_fa': 'true', 'affilname': 'The Hong Kong Polytechnic University', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}, {'@_fa': 'true', 'affilname': 'School of Mechanical Engineering and Automation, Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,25220136,2,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105028939607,2-s2.0-105028939607,Hot oxidation and corrosion resistance of nickel-based superalloy Inconel 617 fabricated by wire arc additive manufacturing for powerplant applications,Kannan A.R.,Materials Characterization,10445803,233,,2026-03-01,March 2026,10.1016/j.matchar.2026.116075,0,"[{'@_fa': 'true', 'affilname': 'National Institute of Technology Tiruchirappalli', 'affiliation-city': 'Tiruchirappalli', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Incheon National University', 'affiliation-city': 'Incheon', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'PSG Institute of Technology and Applied Research', 'affiliation-city': 'Coimbatore', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'RV Institute of Technology and Management', 'affiliation-city': 'Bengaluru', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Coimbatore Institute of Engineering and Technology', 'affiliation-city': 'Coimbatore', 'affiliation-country': 'India'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029270375,2-s2.0-105029270375,Interplay between solidification conditions and post heat treatments on properties of a nickel-based superalloy processed by wire directed energy deposition,Pixner F.,Materials and Design,02641275,263,,2026-03-01,March 2026,10.1016/j.matdes.2026.115542,0,"[{'@_fa': 'true', 'affilname': 'Politechnika Warszawska', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Technische Universitat Graz', 'affiliation-city': 'Graz', 'affiliation-country': 'Austria'}, {'@_fa': 'true', 'affilname': 'ARC Leichtmetallkompetenzzentrum Ranshofen GmbH', 'affiliation-city': 'Ranshofen', 'affiliation-country': 'Austria'}]",Journal,ar,Article,1,True,18734197,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105028989797,2-s2.0-105028989797,Process-parameter-dependent defects formation mechanisms in laser powder bed fusion of non-weldable nickel-based superalloy,Bao Z.,Journal of Materials Research and Technology,22387854,41,2534-2555,2026-03-01,March - April 2026,10.1016/j.jmrt.2026.01.177,0,"[{'@_fa': 'true', 'affilname': 'Sichuan University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,22140697,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105029951971,2-s2.0-105029951971,Composition modification and experimental verification of Hastelloy X superalloy with superior mechanical properties fabricated by laser powder bed fusion,Teng Q.,Journal of Materials Research and Technology,22387854,41,4757-4770,2026-03-01,March - April 2026,10.1016/j.jmrt.2026.02.002,0,"[{'@_fa': 'true', 'affilname': 'Huazhong University of Science and Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,22140697,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105029911815,2-s2.0-105029911815,"In-situ suppression of Laves phases in additively manufactured Inconel 718 via Co alloying: first-principles calculations, influencing mechanisms, and performance",Xie W.,Materials Science and Engineering A,09215093,956,,2026-03-01,March 2026,10.1016/j.msea.2026.149913,0,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029228503,2-s2.0-105029228503,Designing refractory complex concentrated alloys for extreme environments,He Q.,Current Opinion in Solid State and Materials Science,13590286,41,,2026-03-01,March 2026,10.1016/j.cossms.2026.101255,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'City University of Hong Kong', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}, {'@_fa': 'true', 'affilname': 'Shanghai University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'National University of Defense Technology China', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Institute of Aeronautical Materials', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,,
